,incubation_center,name_of_the_startup,location_of_company,sector,company_profile,processed
126,Bio-incubator at Centre for Cellular and Molecular Platforms (C-CAMP),ARQ Solution LLP,"Mumbai, Maharashtra","Pharma, HealthCare","ARQ Solution is an initiative by qualified professionals with collective experience of 60+ years in the field of Pharmaceuticals, IT services, Quality Management Systems and Business Solutions.ï¿½We are committed to deliver innovative products and best services to our customers.",arq solution initiative qualified professionals collective experience years field pharmaceuticals services quality management systems business solutions committed deliver innovative products best services customers
127,Bio-incubator at Centre for Cellular and Molecular Platforms (C-CAMP),Xensible Innovation Lab Pvt. Ltd.,"Bengaluru, Karnataka",Digital Health,"Xensible Innovation Lab is a design-driven company building solutions that enable healthy ageing.

Our flagship product,Xheal, is a patient engagement solution, Crafted to facilitate remote physiotherapy sessions for recovering COVID-19 patients.",xensible innovation lab design driven company building solutions enable healthy ageing flagship product xheal patient engagement solution crafted facilitate remote physiotherapy sessions recovering covid patients
128,Bio-incubator at Centre for Cellular and Molecular Platforms (C-CAMP),Sensai Healthcare Private Limited,"Bengaluru, Karnataka",Digital Health,Help Gestational Diabetes Expectant mothers healthy babies by delivering full suite of services remotely.,help gestational diabetes expectant mothers healthy babies delivering full suite services remotely
129,SR Foundation (SR Innovation Exchange),MHfictio Creations PVT LTD,Warangal,ICT & IoT,"""For every innovation, there is a pain point and let's start with that.

Visually Impaired people have very restricted use of cell phones. as one would prefer a quick chat rather than a voice call.
The Biggest problem a visually Impaired person faces while attending a phone call is that they Should carry bulky devices or arrange ear peace or hang wire around the neck which is very inconvenient for them. As they get major input from ears they donï¿½t wanna block it. So to overcome all this pain and to ease the way of communication and Add them up to create better communication for both worlds. 

We are introducing smart ring a communicational device by which you can access, phone calls, text messages, and many others.
The beauty of over product is that it works on the unique combinations of BCT as well as IoT. When you place a smart ring on the finger, the mechanical waves are produced by a smart ring pass to the bone cavity and bone nerve and when you place the finger to the ear the mechanical waves follow through our auditory system and produce sound waves. In simple words, there are no inbuilt speakers in it we with our technology to make the fingertip as a speaker. And make it possible to accesses everything. 
Which makes our product is more secure to use, as fewer chances of losing it, and almost no dropping of phone or product. Less radiation while comparing to mobile. Easy to access phone calls, text messages, navigation, text to speech, speech to text and can control the phone via commands.""",every innovation pain point let start visually impaired people restricted use cell phones one would prefer quick chat rather voice call biggest problem visually impaired person faces attending phone call carry bulky devices arrange ear peace hang wire around neck inconvenient get major input ears wan na block overcome pain ease way communication add create better communication worlds introducing smart ring communicational device access phone calls text messages many others beauty product works unique combinations bct well iot place smart ring finger mechanical waves produced smart ring pass bone cavity bone nerve place finger ear mechanical waves follow auditory system produce sound waves simple words inbuilt speakers technology make fingertip speaker make possible accesses everything makes product secure use fewer chances losing almost dropping phone product less radiation comparing mobile easy access phone calls text messages navigation text speech speech text control phone via commands
130,SR Foundation (SR Innovation Exchange),Varaha Innovation Studios and Technologies Pvt Ltd,Hyderabad,RetailTech,Varha studio provides digital trial rooms for online e-commerce stores,varha studio provides digital trial rooms online e commerce stores
131,SR Foundation (SR Innovation Exchange),GARUDAASTRA Aeroinventive Solutions Private Limited,"Begumpet, Hyderabad, Telangana",Aerospace and Defense,"A Swarm of zestful Engineers passionate about design, development and deployment of Aerial & Space Vehicles. We would like to promote the UAV / Drones operations such as Aerial Mapping & Survey, Surveillance, Utilities, Mining, Agriculture, Forestry, Solar, Construction and Media Entertainment to match the growing demand in size and quality. We extend our smart work in Engineering Services like Industrial, IT, Robotics & Automation, and other customizable services to meet the global challenges in Aerospace & Dï¿½fense, Automotive, Marine, Energy, Manufacturing and EdTech. The commitment ï¿½Your Mission Our Designï¿½ is a great promise given to our trusted customers along with safe and reliable services.",swarm zestful engineers passionate design development deployment aerial space vehicles would like promote uav drones operations aerial mapping survey surveillance utilities mining agriculture forestry solar construction media entertainment match growing demand size quality extend smart work engineering services like industrial robotics automation customizable services meet global challenges aerospace fense automotive marine energy manufacturing edtech commitment mission design great promise given trusted customers along safe reliable services
132,SR Foundation (SR Innovation Exchange),Cloudchip Technologies Private Limited,"Hyderabad, Telangana",Information and Communication Technology,"Cloudchip Technologies Private Limited founded in year 2017 and involved in the AI based Internet of Things (IoT) Cloud Platform with is customizable to provide business intelligence to AgriTech, Industrial and Automotive IoT devices.",cloudchip technologies private limited founded year involved ai based internet things iot cloud platform customizable provide business intelligence agritech industrial automotive iot devices
133,"TIIC, ABV-IIITM, Gwalior",Identifying privacy risks due to contact tracing during COVID-19 and their mitigation,Gwalior,IT/Modeling,https://www.iiitm.ac.in/index.php/en/research-eng/technology-innovation-and-incubation-center-tiic,faculty proposal
134,SIIC IIT Kanpur,HINDONICS TECHNOLOGIES PRIVATE LIMTIED,Gorakhpur,Hardware Technology,Deep tech Startup making human machine interaction touchless with futuristic holographic technology.,deep tech startup making human machine interaction touchless futuristic holographic technology
135,"NSRCEL, IIM Bangalore",(Solvio) Curious Bee Innovations Private Limited,"Bangalore, Karnataka",Education Technology,"Solvio is building the technology to automatically grade the handwritten and descriptive answers of students using Artificial Intelligence - 
1. Computer Vision
2. Natural Language Processing

Our novel worldï¿½s first technology is completely home-grown and has been trained on over 100 million data points using deep learning, machine learning and self-learning algorithms.

Solvio digitises, understands and auto-grades descriptive answers of students using AI.

Focus: K-12
Languages supported: English 
Subjects: Maths, Science and Social Sciences
Curriculum: NCERT, Common Core (loosely coupled and easy to extend to others)

As of October 2021, we have filed 3 patents in India.",solvio building technology automatically grade handwritten descriptive answers students using artificial intelligence computer vision natural language processing novel world first technology completely home grown trained million data points using deep learning machine learning self learning algorithms solvio digitises understands auto grades descriptive answers students using ai focus k languages supported english subjects maths science social sciences curriculum ncert common core loosely coupled easy extend others october filed patents india
136,Amity Technology Incubator,Plabs Solutions Pvt. Ltd.,Ghaziabad,Healthtech,Plabs is Indiaï¿½s First AI based Audio Visual Platform used for Diagnostics of Symptoms of a Patient.,plabs india first ai based audio visual platform used diagnostics symptoms patient
137,Vel Tech Technology Incubator,DHE4 Ventures Private Limited,Chennai,Healthcare & Biotech,"The trading instruments, chemicals, reagents and consumables (plastic & glass wares) for Government Universities & Institutions, Colleges, Hospitals, Industries, Diagnostics labs and R&D labs. Planning to setup a R&D for Biotech/ Healthcare diagnostics and devices along with production facilities, testing and quality control.",trading instruments chemicals reagents consumables plastic glass wares government universities institutions colleges hospitals industries diagnostics labs r labs planning setup r biotech healthcare diagnostics devices along production facilities testing quality control
138,Vel Tech Technology Incubator,Kittivasal Technologies OPC Pvt Ltd,Chennai,ITES,Providing tangible innovation and services to waste management sector with vision of expand business and regulating the informal into formal Eco Circular business model. Our efficient and diversified team is well equipped in developing automation Products (IoT) and applications to enhance your company's productivity. E-Fi Digi works in tandem with its clients to create the best and deliver the bestelop and Commercialize Environmentally impactive products. We are concentrating on Upstream processes (Eco Design) and also Downstream processes (Waste Management),providing tangible innovation services waste management sector vision expand business regulating informal formal eco circular business model efficient diversified team well equipped developing automation products iot applications enhance company productivity e fi digi works tandem clients create best deliver bestelop commercialize environmentally impactive products concentrating upstream processes eco design also downstream processes waste management
139,Vel Tech Technology Incubator,Mirai Research Solutions,Chennai,Energy,"Mirai Research solutions Specializes in Energy technologies such Fuel cell technology , Biodiesel plants and research equipment fabrication.",mirai research solutions specializes energy technologies fuel cell technology biodiesel plants research equipment fabrication
140,Vel Tech Technology Incubator,SMBSURE BUSINESS SOLUTIONS PVT LTD,Chennai,IoT,GoFloaters is the office for distributed and remote teams. Virtual Watercooler is a product innovation by GoFloaters that helps teams have virtual watercooler conversations.,gofloaters office distributed remote teams virtual watercooler product innovation gofloaters helps teams virtual watercooler conversations
141,"FIRST, IITK",Campus Haat Solutions Pvt Ltd,"Kanpur, Uttar Pradesh",Social Commerce,We Provide Hyperlocal Home-Made Food Delivery,provide hyperlocal home made food delivery
142,"TIIC, ABV-IIITM, Gwalior",IOT Based Smart Device to Implement Gesture Keyboard in the Light of COVID-19 Disease,Gwalior,IOT,https://www.iiitm.ac.in/index.php/en/research-eng/technology-innovation-and-incubation-center-tiic,faculty proposal
143,"TIIC, ABV-IIITM, Gwalior",Virtual Lab on Data Structure and Algorithms,GWALIOR,AI,,na
144,"TIIC, ABV-IIITM, Gwalior",Development of IOT Based Smart isolation/ Quarantine Center to combat COVID-19,Gwalior,IOT,https://www.iiitm.ac.in/index.php/en/research-eng/technology-innovation-and-incubation-center-tiic,faculty proposal
145,"TIIC, ABV-IIITM, Gwalior",SehatOne ï¿½ Comprehensive Medical Analysis for Organizations,Gwalior,Healthcare,https://iiitm.ac.in/index.php/en/426-technology-innovation-and-incubation-center-tiic,na
146,Grameena Incubation Center,Transity,Chennai,Agri-Supply Chain,"Transity offers a digital agri-supply chain platform, freshFLO, which can enable agri and food based organizations to manage their farm to fork operations in an efficient, reliable and convenient manner.",transity offers digital agri supply chain platform freshflo enable agri food based organizations manage farm fork operations efficient reliable convenient manner
147,Grameena Incubation Center,TraceX,Banglore,Block chain,"TraceX technologies offers digital agriculture platform called FOODSIGN which digitises the entire agri supply chain to enable transparency, trust and traceability leveraging blockchain technology.",tracex technologies offers digital agriculture platform called foodsign digitises entire agri supply chain enable transparency trust traceability leveraging blockchain technology
148,Grameena Incubation Center,"""Temperate Technologies""",Hyderabad,Cold Storage Solutions,"""Temperate Technologies is an early-stage start-up company that is developing solar-powered decentralized cold storage solutions. Lack of cold storage leads to an annual loss of more than INR 100,000 crore of fresh fruits and vegetables in our country. It also directly reduces farmer incomes. Temperate cold rooms are based on an innovative energy-efficient cooling technology called dew point cooling. The technology helps in lowering the number of solar panels required for powering the cooling system, which reduces the overall cost of the off-grid cold store. We have filed three patent applications on the technology. We are currently prototyping cold storage solutions in different form factors.
Temperate Technologies is led by a team of engineers from top schools including IIT Madras, IIT Kharagpur and Purdue University. The team has prior start-up experience, including in Silicon Valley-based companies.""",temperate technologies early stage start company developing solar powered decentralized cold storage solutions lack cold storage leads annual loss inr crore fresh fruits vegetables country also directly reduces farmer incomes temperate cold rooms based innovative energy efficient cooling technology called dew point cooling technology helps lowering number solar panels required powering cooling system reduces overall cost grid cold store filed three patent applications technology currently prototyping cold storage solutions different form factors temperate technologies led team engineers top schools including iit madras iit kharagpur purdue university team prior start experience including silicon valley based companies
149,Amity University Haryana,NanoMask (It is our first product. Actual startup name to be revealed soon after trademark registration),"Gurugram, Haryana",Face Mask,Our startup offers customers a multi-purpose face mask that can provide customers choice to use it as regular cloth face mask or nano-particle coated anti-microbial face mask or N95 grade face mask or aromatherapy mask. We also provide customers plant-base essential oils and herbal sanitizer. Our prototype development phase is completed and we are getting ready to launch our product.,startup offers customers multi purpose face mask provide customers choice use regular cloth face mask nano particle coated anti microbial face mask n grade face mask aromatherapy mask also provide customers plant base essential oils herbal sanitizer prototype development phase completed getting ready launch product
150,CIIE Initiatives,Aiborne Tech,Delhi,Skilling & Edtech,"Aiborne Tech is providing advanced Industrial Lab Training through AI-based Mixed Reality Modules.
",aiborne tech providing advanced industrial lab training ai based mixed reality modules
151,CIIE Initiatives,Pacify Medical,Mumbai,Healthcare,"Pacify Medical is a medical technology company with the aim to bring advanced wound healing technologies to patients, currently developing Skin Spray Gun, A gun which heals patients 25% faster.",pacify medical medical technology company aim bring advanced wound healing technologies patients currently developing skin spray gun gun heals patients faster
152,CIIE Initiatives,Evoluto,Bangalore,Healthcare,"Dr Sabharanjak is a scientist and founder of Evoluto (startup). She has developed an inhalable spray that can reduce infections with SARS-CoV-2 virus. As per her, the spray can be used via an oral pump (like we use personal inhalers and asthalin puffs) or using a nebulizer in hospitals and homes.",dr sabharanjak scientist founder evoluto startup developed inhalable spray reduce infections sars cov virus per spray used via oral pump like use personal inhalers asthalin puffs using nebulizer hospitals homes
153,CIIE Initiatives,Redicine Medsol,"Ahmedabad, Gujarat",Healthcare,"Redicine Medsol is developing a smart Pill storage and reminding device to mitigate WHO's 3rd Global Patients Safety challenge: Medication adherence, which is costing almost 42 billion USD in the USA alone, by improving patient's medication adherence up to 90% which is just around 40-50% only. Their solution gives real-time accurate medication adherence reports and compared to conventional methods, they are very much ahead in terms of technology, size, efficiency, no drug-to-drug interaction & affordability.",redicine medsol developing smart pill storage reminding device mitigate rd global patients safety challenge medication adherence costing almost billion usd usa alone improving patient medication adherence around solution gives real time accurate medication adherence reports compared conventional methods much ahead terms technology size efficiency drug drug interaction affordability
154,CIIE Initiatives,Minocular,Raipur,Smart infrastructure / Mining,"Minoular offers complete enterprise drone solutions on a comprehensive platform , it provide end-to-end solutions that turnaerial data into actionable business intelligence for mining, aggregates & construction industry. Minocular's 3D visual intelligence platform use IOT to collect real time data and AI to reduce cost and improve efficiency in mining operation.",minoular offers complete enterprise drone solutions comprehensive platform provide end end solutions turnaerial data actionable business intelligence mining aggregates construction industry minocular visual intelligence platform use iot collect real time data ai reduce cost improve efficiency mining operation
155,CIIE Initiatives,Godaam Innovations Pvt. Ltd.,Nashik,Agritech,Godaam is an early stage initiative trying to convert traditional onion warehouses into smart warehouses to reduce crop wastage. It implements IoT based monitoring solution that analyzes and communicates the health status of onion stock in real time. We are here to extend care and support to our agricultural heroes by providing them important information about their onion stocks which enables them to take informed decision.,godaam early stage initiative trying convert traditional onion warehouses smart warehouses reduce crop wastage implements iot based monitoring solution analyzes communicates health status onion stock real time extend care support agricultural heroes providing important information onion stocks enables take informed decision
156,CIIE Initiatives,Articulus Surgical,Bangalore,Healthcare,The startup is developing a portable and affordable robotic surgical systems. It will enable access to minimally invasive surgeries with the same precision as the gold standard product with nearly 25% of the cost and 20% of the size.,startup developing portable affordable robotic surgical systems enable access minimally invasive surgeries precision gold standard product nearly cost size
157,"FITT, IIT Delhi",Dweepi Innovations Pvt Ltd,Visakhapatnam,"Railways, transportation","""Dweepi innovations Pvt Ltd developing cost effective product and precision products for railways. We are developing track measurement system for regular inspection of railway tracks.
? Portable Track Geometry Measurement System measures track parameters under track floating conditions and also records visual inspections.
? Trolley does not have dependencies on other machines or track schedules that makes it to use any time for track profiling.
? Less weight that can carry by single person
? It is as easy as a basic skilled person can operate""",dweepi innovations pvt ltd developing cost effective product precision products railways developing track measurement system regular inspection railway tracks portable track geometry measurement system measures track parameters track floating conditions also records visual inspections trolley dependencies machines track schedules makes use time track profiling less weight carry single person easy basic skilled person operate
158,"FITT, IIT Delhi",Trydan Motors Private Limited,New Delhi,E-mobility,"""Trydan Motors (P) Ltd. is a startup engaged in manufacturing of Electric Vehicles (EV) in India. We are prominent manufacturer of e bikes with a vision of participating in the evolution of electric vehicles era in the world.We are focused on creating an environment of EV in India and promoting them. Our continuous efforts are to reduce the unnecessary use of petrol bikes and scooters and promote cycling in India.
Provide Green alternative to existing modes of transportation""",trydan motors p ltd startup engaged manufacturing electric vehicles ev india prominent manufacturer e bikes vision participating evolution electric vehicles era world focused creating environment ev india promoting continuous efforts reduce unnecessary use petrol bikes scooters promote cycling india provide green alternative existing modes transportation
159,"FITT, IIT Delhi",Let's Farm (Shvaas Sustainable Solutions Private Limited),"Jaipur, Rajasthan",Agri-Tech,"""Letï¿½s Farm is a brand under agri-tech & clean-tech start up Shvaas Sustainable Solutions Private Limited. SSS Private Limited was founded in 2020 by IIT & JU alumni. Company is trying to create a sustainable ecosystem for Indian organic farmers.
The company is trying to solve several pain points which is being faced by the Indian organic farmer. With the branding of Letï¿½s Farm, company is working to build an e-marketplace for organic farmers & working to solve some other minor issues.
Shvaas Sustainable Solution is a recognized startup by government of India as well as government of Rajasthan. The startup is supported by Ministry of Electronics and Information Technology, Government of India, BIRAC, FITT, IIT Delhi & JU. The startup have achieved some government awards like Tide.
The company is based on Jaipur & looking future in PAN India with 3 years.""",let farm brand agri tech clean tech start shvaas sustainable solutions private limited sss private limited founded iit ju alumni company trying create sustainable ecosystem indian organic farmers company trying solve several pain points faced indian organic farmer branding let farm company working build e marketplace organic farmers working solve minor issues shvaas sustainable solution recognized startup government india well government rajasthan startup supported ministry electronics information technology government india birac fitt iit delhi ju startup achieved government awards like tide company based jaipur looking future pan india years
160,"FITT, IIT Delhi",Ambrosius Tech Pvt. Ltd.,"Satara, Maharashtra (Presently operating from Delhi)",EdTech,"Ambrosius Tech Pvt. Ltd., a start-up founded by the students & alumni of IIT Delhi and IIT Roorkee, to develop an online platform for the education institutes, Building technological solutions for addressing the needs of administration & teacher at educational institutions which can make their working easier in any mode. We are developing the platform which will be helpful for smooth running of the educational institutes on online, offline as well as hybrid mode. The start-up vision is to make the teaching and managing experience realistic, interactive, informative, and user-friendly. The platform will be a bridge the gap among the administration-students-teachers-parents.",ambrosius tech pvt ltd start founded students alumni iit delhi iit roorkee develop online platform education institutes building technological solutions addressing needs administration teacher educational institutions make working easier mode developing platform helpful smooth running educational institutes online offline well hybrid mode start vision make teaching managing experience realistic interactive informative user friendly platform bridge gap among administration students teachers parents
161,FITT IIT Delhi,Materate Education Pvt Ltd,New Delhi,Education,MateRate is an AI-powered adaptive learning solution that simplifies Maths for school students by identifying and resolving the root cause of their conceptual gaps. It focuses on resolving gaps in a targeted manner to help students realize a substantial improvement in their learning outcomes within a short span of time.,materate ai powered adaptive learning solution simplifies maths school students identifying resolving root cause conceptual gaps focuses resolving gaps targeted manner help students realize substantial improvement learning outcomes within short span time
162,"FITT, IIT Delhi",Neem Tree Agro Solutions Private Limited,"Delhi, Delhi",AgriTech,"We are a SaaS based AgTech company focused on delivering economical, efficient and adaptable cutting edge solutions for every farmer in the nation. The services harness the power of data and Artificial Intelligence based decision support system for enhanced quality and quantity of produce.",saas based agtech company focused delivering economical efficient adaptable cutting edge solutions every farmer nation services harness power data artificial intelligence based decision support system enhanced quality quantity produce
163,"FITT, IIT Delhi",MeuKron Technologies,"Belagavi, Karnataka",Healthcare,MeuKron Technologies is a start-up that helps companies and institutes to save time and cost on the R&D and prototyping of Microfluidic based Healthcare devices with an integrated rapid prototyping solution.,meukron technologies start helps companies institutes save time cost r prototyping microfluidic based healthcare devices integrated rapid prototyping solution
164,FITT (IIT Delhi),NextLeap Aeronautics Pvt Ltd,"Bangalore, Karnataka","Aerospace, UAV, Drones, Defence","""NextLeap Aeronautics is an advanced civil aviation & defence technology startup and currently developing the next generation of autonomous UAVs/drones and electric vertical take-off & landing aircrafts. NextLeap has been chosen as the technology partner by a Private Aerospace & Defence company to develop the drones for their defence product portfolio. Developed the first prototype and delivered in Sep 2021.

""",nextleap aeronautics advanced civil aviation defence technology startup currently developing next generation autonomous uavs drones electric vertical take landing aircrafts nextleap chosen technology partner private aerospace defence company develop drones defence product portfolio developed first prototype delivered sep
165,"FITT, IIT Delhi",Andromeida Maritime Solutions Pt. Ltd.,Gurgaon-Haryana,Robotics,"Andromeida creates underwater robots for solving problems of stake holders, concerning water ecosystem",andromeida creates underwater robots solving problems stake holders concerning water ecosystem
166,FITT New Delhi,Ominar Innovations,"Pune, Maharashtra",Digital Health helathcare,"Smartphone based ï¿½Urinary Protein to Creatinine Ratioï¿½ (UPCR) test using AI/ML programming, for monitoring disease progression at home, useful for diabetic and early kidney disease patients using spot urine.",smartphone based urinary protein creatinine ratio upcr test using ai ml programming monitoring disease progression home useful diabetic early kidney disease patients using spot urine
167,Society for Innovation and Entrepreneurship (SINE) IIT Bombay,Ixar Robotic Solution,Mumbai,Under water vehcle,"An indigenous developed remotely Operated Underwater Vehicle for the Inspection all submersible structures - Ie - Bridges, dams, Ports, Ships, pipelines, etc 
",indigenous developed remotely operated underwater vehicle inspection submersible structures ie bridges dams ports ships pipelines etc
168,Society for Innovation and Entrepreneurship (SINE) IIT Bombay,Micob Private Limited,Gandhinagar,Construction,3D printed wall panels and room,printed wall panels room
169,Society for Innovation and Entrepreneurship (SINE) IIT Bombay,Udayan Ecotech Pvt Ltd.,Pune,EV,Developing a smart Electric Vehicle Integrated Control Unit for two-wheelers and three-wheelers.,developing smart electric vehicle integrated control unit two wheelers three wheelers
170,Society for Innovation and Entrepreneurship (SINE) IIT Bombay,Incorporation yet to be done,,EduTech,"Holo Shiksha is reinventing learning with itï¿½s patented pending 3D Holographic Learning Device and Online 3D Learning Platform to provide a world-class learning experience.
",holo shiksha reinventing learning patented pending holographic learning device online learning platform provide world class learning experience
171,Society for Innovation and Entrepreneurship (SINE) IIT Bombay,Bramhansh Technologies Pvt Ltd,Chhattisgarh,Healthcare,Mind Calming Device using AI based bio-feedback Kit,mind calming device using ai based bio feedback kit
172,Society for Innovation and Entrepreneurship (SINE) IIT Bombay,Clairvoyance Mindware Pvt Ltd,Pune,Healthcare,ï¿½Let Me Talk To Meï¿½ is an innovation to create easy assessment for individuals and masses that is quick and would most likely to generate a flash of mindfulness within the individuals,let talk innovation create easy assessment individuals masses quick would likely generate flash mindfulness within individuals
173,Society for Innovation and Entrepreneurship (SINE) IIT Bombay kanan@sineiitb.org,Chainworks Digital Private Limited,Mumbai,Healthcare,"Pharmakhata : A blockchain, AI and RPA based unified platform to support the pharma supply chain 
",pharmakhata blockchain ai rpa based unified platform support pharma supply chain
174,Society for Innovation and Entrepreneurship (SINE) IIT Bombay,Whiteowl Healthcare Private Limited,Hyderabad,Healthcare,"developing a portable titrated oxygen therapy device.
",developing portable titrated oxygen therapy device
175,Society for Innovation and Entrepreneurship (SINE) IIT Bombay,Faucet Labs Private Limited,Delhi,FinTech,Personal hardwarebased distributed recovery system to secure digital assets & sensitive information without a single point of failure,personal hardwarebased distributed recovery system secure digital assets sensitive information without single point failure
176,Society for Innovation and Entrepreneurship (SINE) IIT Bombay,Develop Train Maintain Llp,Ulhasnagar,CleanTech,WAYUMITRA - The Rooftop Table Turbine,wayumitra rooftop table turbine
177,Society for Innovation and Entrepreneurship (SINE) IIT Bombay,Incorporation yet to be done,,EduTech,Mobile application which transports content of books into interactive 3D-models (augmented reality models),mobile application transports content books interactive models augmented reality models
178,SR Foundation (SR Innovation Exchange),Viben QR Innovations,Warangal,Services,Viben is a Start Up company incorporated with a Mission to change the traditional way of ordering Food & Beverages or services at Various Venues such as Movie Theatres/ Restaurants/ Residential Spaces/ Hotels/ Workspaces/ Adventurous theme parks/ Flights/ Trains/ Busses etc. by providing a QR Code at each seat scanning which they can place their food order.,viben start company incorporated mission change traditional way ordering food beverages services various venues movie theatres restaurants residential spaces hotels workspaces adventurous theme parks flights trains busses etc providing qr code seat scanning place food order
179,Society for Innovation and Entrepreneurship (SINE) IIT Bombay,Cre-Aid Labs Pvt Ltd,Bangalore,Healthcare,"Single Drive Multi-Mode Operative Upper Limb Prosthesis
",single drive multi mode operative upper limb prosthesis
180,SR Foundation (SR Innovation Exchange),WarrantyMe,Hyderabad,Retail tech,"""WarrantyME is a service platform that offers e-warranty management, Device Insurance and repair services by listing a users consumer electronic/Home Appliance purchases into a single application. 
Today, If we go and buy an electronic device at a store they give us a physical copy of the invoice or email it to us, same goes for device insurance purchases. 
By Partnering with electronic retail stores we are registering/onboarding all consumer electronic purchases of a person like their Mobiles, TV'S, Refrigerator's....into the app, we digitise the bill, save the product details and then provide the after sale services like warranty/repair through our app. 
Whenever a person purchases a product, the product will be registered on his/her mobile number. So all the products in his/her home will be listed in the application. 

When the customer logs in: 
- He/She can track their products warranty period 
- Can access digital invoices of products 
- View FAQ, OEM Terms for warranty 
- Get Contact, Location details of OEM 
- Push Notifications will be delivered to customers as the warranty period of a product is about to expire. 

And If any product malfunctions, by the click of a button, We will forward the warranty request directly to the OEM if under warranty or forward the insurance request to the Insurer if itï¿½s an insurance case.
Without WarrantyMe, the customer has to find the invoice, look for the service centre, visit the location, wait for the slot and has to get the service done, and for insurance itï¿½s the same. Find the invoice, call toll free, wait for executive..etc. But with WarrantyMe, both services can be accessed by the click of a button. We are acting as a bridge between both the OEM and the Insurers to make the service simpler for customers.
We are creating a platform to offer a 3 way after sale service.""",warrantyme service platform offers e warranty management device insurance repair services listing users consumer electronic home appliance purchases single application today go buy electronic device store give us physical copy invoice email us goes device insurance purchases partnering electronic retail stores registering onboarding consumer electronic purchases person like mobiles tv refrigerator app digitise bill save product details provide sale services like warranty repair app whenever person purchases product product registered mobile number products home listed application customer logs track products warranty period access digital invoices products view faq oem terms warranty get contact location details oem push notifications delivered customers warranty period product expire product malfunctions click button forward warranty request directly oem warranty forward insurance request insurer insurance case without warrantyme customer find invoice look service centre visit location wait slot get service done insurance find invoice call toll free wait executive etc warrantyme services accessed click button acting bridge oem insurers make service simpler customers creating platform offer way sale service
181,Society for Innovation and Entrepreneurship (SINE) IIT Bombay,Mclabs Pvt Ltd,Mumbai,Communications,We are proposing a PS-LTE based communication system which is based on Broadband 4G/LTE technology,proposing ps lte based communication system based broadband g lte technology
182,SR Foundation (SR Innovation Exchange),Youcode Intelligence Solutions,Chennai,EDTECH,"""Working Towards solutions for Empowering Technology skills of Small Town and Village Kids in India. 

During the Corona Crisis - Created an AI powered Security solution for Women Safety 
Edge AI-powered Women Violence Detection 
Github - https://github.com/youcode-in/Edge-AI-powered-Women-Violence-Detection 
Youtube Demo- https://www.youtube.com/watch?v=yTFO9huYuPo
""",working towards solutions empowering technology skills small town village kids india corona crisis created ai powered security solution women safety edge ai powered women violence detection github youtube demo
183,Forge (Coimbatore Innovation and Business Incubator),BigDipper Exploration Technologies,Delhi,Space Tech,"The startup is developing Autonomous Industrial Robots which will enable a thriving Cislunar economy, by developing infrastructure and utilizing resources on the Lunar surface.",startup developing autonomous industrial robots enable thriving cislunar economy developing infrastructure utilizing resources lunar surface
184,Forge (Coimbatore Innovation and Business Incubator),Abhaya Information Technology,"Mumbai, Maharashtra",Digital Health Tech,Telemedicine platform for Remote health monitoring through Wearable solutions.The wearables are a set of devices that collect data on the patientï¿½s vital parameters and send it to the doctors enabling them with remote consulting services.,telemedicine platform remote health monitoring wearable solutions wearables set devices collect data patient vital parameters send doctors enabling remote consulting services
185,Forge (Coimbatore Innovation and Business Incubator),TestedOK Technologies,"Coimbatore, Tamil Nadu",Industrial Digital Transformation,The startup is aimed at providing cost-efficient QC automation solutions to MSMEs by using Machine Vision Technology with proprietary Illumination systems and surface-level anomaly detection.,startup aimed providing cost efficient qc automation solutions msmes using machine vision technology proprietary illumination systems surface level anomaly detection
186,Forge (Coimbatore Innovation and Business Incubator),PQSI Digital,"Chennai, Tamil Nadu",Industry Digital Transformation (Manufacturing Industries),"PQSI offers SaaS model for Asset Management System that is backed with reliable data drive insights, that enable outcomes in quality and productivity.",pqsi offers saas model asset management system backed reliable data drive insights enable outcomes quality productivity
187,Forge (Coimbatore Innovation and Business Incubator),Torus Robotics Pvt Ltd,"Chennai, Tamil Nadu",Future Mobility,"Torus Robotics is a Defence Tech Startup working on Unmanned Ground Vehicles, Robotics and Indigenous Powertrains for the Indian Defence and commercial market. Currently they are working on one of the world's most compact and lightweight electric motor technology to satisfy the need for an indigenous powertrain solution by the Indian EV Market.",torus robotics defence tech startup working unmanned ground vehicles robotics indigenous powertrains indian defence commercial market currently working one world compact lightweight electric motor technology satisfy need indigenous powertrain solution indian ev market
188,Forge (Coimbatore Innovation and Business Incubator),ExactSpace Technologies,"Bangalore, Karnataka","Industrial Digital Transformation (Energy Sector, Process Industries)","Exactspace has created a cloud based AI engine, Pulse that enables remote monitoring of energy assets in industrial plants that offers human-like intelligence for predictive maintenance and process optimisation. They are developing a IR based weather monitor for applications in Solar Farms",exactspace created cloud based ai engine pulse enables remote monitoring energy assets industrial plants offers human like intelligence predictive maintenance process optimisation developing ir based weather monitor applications solar farms
