,unnamed:_0,unnamed:_0,incubation_center,name_of_the_startup,location_of_company,sector,company_profile,processed
116,116,116,Amity University Haryana,nanoLatticeX,"Gurgaon, Haryana",nanotechnology,"NANOLATTICEX LLP (LLPIN: AAZ-1587) is a Limited Liability Partnership firm incorporated on 23 Dec 2021. It is registered at Registrar of Companies, Delhi. Its total obligation of contribution is Rs. 100000.00.

Designated Partners of NANOLATTICEX LLP are ATUL THAKUR, and PREETI THAKUR.

NANOLATTICEX LLP's last financial year end date for which Statement of Accounts and Solvency were filed is 31 Dec 2024. and as per records from Ministry of Corporate Affairs (MCA), date of last financial year end date for which Annual Return were filed is 04 Dec 2024.

NANOLATTICEX LLP's LLP Identification Number is (LLPIN)AAZ-1587. Its Email address is ATULHPU@GMAIL.COM and its registered address is FLAT NO B 107, FACULTY FLATS AMITY UNIVERSITY GURGOAN, Haryana, India - 122413",nanolatticex llp llpin aaz limited liability partnership firm incorporated dec registered registrar companies delhi total obligation contribution rs designated partners nanolatticex llp atul thakur preeti thakur nanolatticex llp last financial year end date statement accounts solvency filed dec per records ministry corporate affairs mca date last financial year end date annual return filed dec nanolatticex llp llp identification number llpin aaz email address atulhpu gmail com registered address flat b faculty flats amity university gurgoan haryana india
117,117,117,IIT Mandi Catalyst,Elight SPM OPC Pvt Ltd.,New Delhi,Dronetech,"https://www.elightspm.com
",elight spm current entity forthcoming developments indicated repeated coming soon messages website site includes standard contact information copyright details cookie policy elight spm website largely placeholder announcing future content services coming soon features basic site functionalities contact options copyright notice cookie consent mechanism website analytics user experience optimization
118,118,118,IIT Mandi Catalyst,DatumM Tech-Solutions,"Kangra, HP",Medical Devices,Not available yet,available yet
119,119,119,IIT Mandi Catalyst,IntelVib,"DIAT,Pune",Manufacturing,Not available yet,available yet
120,120,120,Bio-incubator at Centre for Cellular and Molecular Platforms (C-CAMP),Salcit Technologies Private Limited,"Hyderabad, Telangana",Digital Health,"Salcit technologies has developed a patented SwaasaÃÂ¯ÃÂ¿ÃÂ½ AI platform, which is a Point-of-care technology to assess usersÃÂ¯ÃÂ¿ÃÂ½ respiratory condition. 

Our research was funded by MeitY (Ministry of Electronics and Information Technology, India), through ITRA (Information Technology Research Academy, https://itra.medialabasia.in/) in 2016, and by Department of BioTechnology, BIRAC, grants in Apr 2018 and Nov 2018. 

The platform analyzes cough signals along with a subset of symptoms from SGRQ (St George's Respiratory Questionnaire) and provides an assessment. Using proprietary machine learning and artificial intelligence algorithms the platforms identifies underlying respiratory condition (yes/no), the pattern (obstructive, restricrive, mixed or normal) and its severity. It is a highly effective platform that achieves this functionality without the constraints of cost, location, scheduling, special equipment, and trained personnel.

The core technology has been enhanced to provide risk assessment for COVID-19 based on symptoms and cough analysis. Providing a longitudinal view on cough characteristics, the solution provides a platform to surveil susceptible populations by public health officials. Currently Apollo has integrated Swaasa Cough analysis with thier COVID19 risk assessment which is available to public for conducting risk assessment free of cost using Apollo 24x7 application.",salcit technologies developed patented swaasa ai platform point care technology assess users respiratory condition research funded meity ministry electronics information technology india itra information technology research academy department biotechnology birac grants apr nov platform analyzes cough signals along subset symptoms sgrq st george respiratory questionnaire provides assessment using proprietary machine learning artificial intelligence algorithms platforms identifies underlying respiratory condition yes pattern obstructive restricrive mixed normal severity highly effective platform achieves functionality without constraints cost location scheduling special equipment trained personnel core technology enhanced provide risk assessment covid based symptoms cough analysis providing longitudinal view cough characteristics solution provides platform surveil susceptible populations public health officials currently apollo integrated swaasa cough analysis thier covid risk assessment available public conducting risk assessment free cost using apollo x application
121,123,121,IIT Mandi catalyst,Farm Intelligent Systems,"Pune, MH","Agri Tech, Robotics,",https://www.linkedin.com/company/farminsystems,farm intelligent systems agritech startup founded based pune maharashtra specialize developing tractor driven self driving robotic farm equipment address lack proper machinery workforce shortages agriculture startup aims revolutionize farm mechanization providing innovative farm equipment including self driving solutions thousands farmers technology seeks provide better alternatives usher future farming making advanced equipment accessible
122,124,122,IIT Mandi Catalyst,Coding Made Easy,"IIT Mandi Catalyst, Permanent Add- Vill & PO Piplaage, Distt Kullu (H.P) - 175125",Information Technology,"Software developers take months and years of coding efforts in building software products - we help them do it in minutes.
",software developers take months years coding efforts building software products help minutes
123,125,123,Bio-incubator at Centre for Cellular and Molecular Platforms (C-CAMP),AgSmartic Technologies Pvt Ltd,New Delhi,Agritech,"AgSmartic Technologies is a precision agriculture organization, founded in 2017 with the mission to help the farmers improving their crop yield using Artificial Intellegence and IoT.",agsmartic technologies precision agriculture organization founded mission help farmers improving crop yield using artificial intellegence iot
124,126,124,IIT Mandi Catalyst,ECOC,"IIT Mandi Catalyst, Permanent Add-Pallaruguda, Sangem, Warangal, TS- 506330 (At present working at IIT Mandi Catalyst co-working space)",Electric Bicycles,"Custom Electric Bicycles
",custom electric bicycles
125,127,125,Bio-incubator at Centre for Cellular and Molecular Platforms (C-CAMP),Aikenist Technologies Pvt Ltd,"Bengaluru, Karnataka",Digital Health,"Aikenist provides the most advanced AI-based solutions for faster MRI scanning, better diagnosis capability and quick turnaround to reach the benefits of medical imaging to a larger population for regular checkup of critical illness like Cancer, Alzheimers and common MSK problems. QuickScan: QuickScan accelerates MRI scanning by 4x which means 20 mins scan can take 5 mins now. The solution enhances patient convenience and improves return on investment for hospitals and diagnostic centers. The solution is based on very innovative technology using AI-based algorithms.
Quickdiag: QuickDiag COVID19 which detects COVID-19 infection of lungs using AI analysis of X-Ray/CT scan and quantifies the extent of the damage.",aikenist provides advanced ai based solutions faster mri scanning better diagnosis capability quick turnaround reach benefits medical imaging larger population regular checkup critical illness like cancer alzheimers common msk problems quickscan quickscan accelerates mri scanning x means mins scan take mins solution enhances patient convenience improves return investment hospitals diagnostic centers solution based innovative technology using ai based algorithms quickdiag quickdiag covid detects covid infection lungs using ai analysis x ray ct scan quantifies extent damage
126,128,126,Bio-incubator at Centre for Cellular and Molecular Platforms (C-CAMP),ARQ Solution LLP,"Mumbai, Maharashtra","Pharma, HealthCare","ARQ Solution is an initiative by qualified professionals with collective experience of 60+ years in the field of Pharmaceuticals, IT services, Quality Management Systems and Business Solutions.ÃÂ¯ÃÂ¿ÃÂ½We are committed to deliver innovative products and best services to our customers.",arq solution initiative qualified professionals collective experience years field pharmaceuticals services quality management systems business solutions committed deliver innovative products best services customers
127,129,127,Bio-incubator at Centre for Cellular and Molecular Platforms (C-CAMP),Xensible Innovation Lab Pvt. Ltd.,"Bengaluru, Karnataka",Digital Health,"Xensible Innovation Lab is a design-driven company building solutions that enable healthy ageing.

Our flagship product,Xheal, is a patient engagement solution, Crafted to facilitate remote physiotherapy sessions for recovering COVID-19 patients.",xensible innovation lab design driven company building solutions enable healthy ageing flagship product xheal patient engagement solution crafted facilitate remote physiotherapy sessions recovering covid patients
128,130,128,Bio-incubator at Centre for Cellular and Molecular Platforms (C-CAMP),Sensai Healthcare Private Limited,"Bengaluru, Karnataka",Digital Health,Help Gestational Diabetes Expectant mothers healthy babies by delivering full suite of services remotely.,help gestational diabetes expectant mothers healthy babies delivering full suite services remotely
129,131,129,SR Foundation (SR Innovation Exchange),MHfictio Creations PVT LTD,Warangal,ICT & IoT,"""For every innovation, there is a pain point and let's start with that.

Visually Impaired people have very restricted use of cell phones. as one would prefer a quick chat rather than a voice call.
The Biggest problem a visually Impaired person faces while attending a phone call is that they Should carry bulky devices or arrange ear peace or hang wire around the neck which is very inconvenient for them. As they get major input from ears they donÃÂ¯ÃÂ¿ÃÂ½t wanna block it. So to overcome all this pain and to ease the way of communication and Add them up to create better communication for both worlds. 

We are introducing smart ring a communicational device by which you can access, phone calls, text messages, and many others.
The beauty of over product is that it works on the unique combinations of BCT as well as IoT. When you place a smart ring on the finger, the mechanical waves are produced by a smart ring pass to the bone cavity and bone nerve and when you place the finger to the ear the mechanical waves follow through our auditory system and produce sound waves. In simple words, there are no inbuilt speakers in it we with our technology to make the fingertip as a speaker. And make it possible to accesses everything. 
Which makes our product is more secure to use, as fewer chances of losing it, and almost no dropping of phone or product. Less radiation while comparing to mobile. Easy to access phone calls, text messages, navigation, text to speech, speech to text and can control the phone via commands.""",every innovation pain point let start visually impaired people restricted use cell phones one would prefer quick chat rather voice call biggest problem visually impaired person faces attending phone call carry bulky devices arrange ear peace hang wire around neck inconvenient get major input ears wan na block overcome pain ease way communication add create better communication worlds introducing smart ring communicational device access phone calls text messages many others beauty product works unique combinations bct well iot place smart ring finger mechanical waves produced smart ring pass bone cavity bone nerve place finger ear mechanical waves follow auditory system produce sound waves simple words inbuilt speakers technology make fingertip speaker make possible accesses everything makes product secure use fewer chances losing almost dropping phone product less radiation comparing mobile easy access phone calls text messages navigation text speech speech text control phone via commands
130,132,130,SR Foundation (SR Innovation Exchange),Varaha Innovation Studios and Technologies Pvt Ltd,Hyderabad,RetailTech,Varha studio provides digital trial rooms for online e-commerce stores,varha studio provides digital trial rooms online e commerce stores
131,133,131,SR Foundation (SR Innovation Exchange),GARUDAASTRA Aeroinventive Solutions Private Limited,"Begumpet, Hyderabad, Telangana",Aerospace and Defense,"A Swarm of zestful Engineers passionate about design, development and deployment of Aerial & Space Vehicles. We would like to promote the UAV / Drones operations such as Aerial Mapping & Survey, Surveillance, Utilities, Mining, Agriculture, Forestry, Solar, Construction and Media Entertainment to match the growing demand in size and quality. We extend our smart work in Engineering Services like Industrial, IT, Robotics & Automation, and other customizable services to meet the global challenges in Aerospace & DÃÂ¯ÃÂ¿ÃÂ½fense, Automotive, Marine, Energy, Manufacturing and EdTech. The commitment ÃÂ¯ÃÂ¿ÃÂ½Your Mission Our DesignÃÂ¯ÃÂ¿ÃÂ½ is a great promise given to our trusted customers along with safe and reliable services.",swarm zestful engineers passionate design development deployment aerial space vehicles would like promote uav drones operations aerial mapping survey surveillance utilities mining agriculture forestry solar construction media entertainment match growing demand size quality extend smart work engineering services like industrial robotics automation customizable services meet global challenges aerospace fense automotive marine energy manufacturing edtech commitment mission design great promise given trusted customers along safe reliable services
132,134,132,SR Foundation (SR Innovation Exchange),Cloudchip Technologies Private Limited,"Hyderabad, Telangana",Information and Communication Technology,"Cloudchip Technologies Private Limited founded in year 2017 and involved in the AI based Internet of Things (IoT) Cloud Platform with is customizable to provide business intelligence to AgriTech, Industrial and Automotive IoT devices.",cloudchip technologies private limited founded year involved ai based internet things iot cloud platform customizable provide business intelligence agritech industrial automotive iot devices
133,135,133,"TIIC, ABV-IIITM, Gwalior",Identifying privacy risks due to contact tracing during COVID-19 and their mitigation,Gwalior,IT/Modeling,https://www.iiitm.ac.in/index.php/en/research-eng/technology-innovation-and-incubation-center-tiic,werehab technologies pvt ltd iit kanpur incubated startup provides virtual foot health physiotherapy services offer custom orthotic insoles slippers smart insoles gait analysis aiding early diagnosis conditions like diabetic foot ulcers muscular imbalances technology supports personalized treatment progress monitoring optimizes athletic performance providing biomechanical data reduce injury risk hacklab specializes smart iot ai solutions ensuring people safety digitization particularly industrial settings monitor human machine behavior using sensors leveraging intelligence edge real time analytics product portfolio includes smart tags workers tracking devices heavy machinery smart camera systems designed eliminate hazards reduce life threatening events
134,136,134,SIIC IIT Kanpur,HINDONICS TECHNOLOGIES PRIVATE LIMTIED,Gorakhpur,Hardware Technology,Deep tech Startup making human machine interaction touchless with futuristic holographic technology.,deep tech startup making human machine interaction touchless futuristic holographic technology
135,137,135,"NSRCEL, IIM Bangalore",(Solvio) Curious Bee Innovations Private Limited,"Bangalore, Karnataka",Education Technology,"Solvio is building the technology to automatically grade the handwritten and descriptive answers of students using Artificial Intelligence - 
1. Computer Vision
2. Natural Language Processing

Our novel worldÃÂ¯ÃÂ¿ÃÂ½s first technology is completely home-grown and has been trained on over 100 million data points using deep learning, machine learning and self-learning algorithms.

Solvio digitises, understands and auto-grades descriptive answers of students using AI.

Focus: K-12
Languages supported: English 
Subjects: Maths, Science and Social Sciences
Curriculum: NCERT, Common Core (loosely coupled and easy to extend to others)

As of October 2021, we have filed 3 patents in India.",solvio building technology automatically grade handwritten descriptive answers students using artificial intelligence computer vision natural language processing novel world first technology completely home grown trained million data points using deep learning machine learning self learning algorithms solvio digitises understands auto grades descriptive answers students using ai focus k languages supported english subjects maths science social sciences curriculum ncert common core loosely coupled easy extend others october filed patents india
136,138,136,Amity Technology Incubator,Plabs Solutions Pvt. Ltd.,Ghaziabad,Healthtech,Plabs is IndiaÃÂ¯ÃÂ¿ÃÂ½s First AI based Audio Visual Platform used for Diagnostics of Symptoms of a Patient.,plabs india first ai based audio visual platform used diagnostics symptoms patient
137,139,137,Vel Tech Technology Incubator,DHE4 Ventures Private Limited,Chennai,Healthcare & Biotech,"The trading instruments, chemicals, reagents and consumables (plastic & glass wares) for Government Universities & Institutions, Colleges, Hospitals, Industries, Diagnostics labs and R&D labs. Planning to setup a R&D for Biotech/ Healthcare diagnostics and devices along with production facilities, testing and quality control.",trading instruments chemicals reagents consumables plastic glass wares government universities institutions colleges hospitals industries diagnostics labs r labs planning setup r biotech healthcare diagnostics devices along production facilities testing quality control
138,140,138,Vel Tech Technology Incubator,Kittivasal Technologies OPC Pvt Ltd,Chennai,ITES,Providing tangible innovation and services to waste management sector with vision of expand business and regulating the informal into formal Eco Circular business model. Our efficient and diversified team is well equipped in developing automation Products (IoT) and applications to enhance your company's productivity. E-Fi Digi works in tandem with its clients to create the best and deliver the bestelop and Commercialize Environmentally impactive products. We are concentrating on Upstream processes (Eco Design) and also Downstream processes (Waste Management),providing tangible innovation services waste management sector vision expand business regulating informal formal eco circular business model efficient diversified team well equipped developing automation products iot applications enhance company productivity e fi digi works tandem clients create best deliver bestelop commercialize environmentally impactive products concentrating upstream processes eco design also downstream processes waste management
139,141,139,Vel Tech Technology Incubator,Mirai Research Solutions,Chennai,Energy,"Mirai Research solutions Specializes in Energy technologies such Fuel cell technology , Biodiesel plants and research equipment fabrication.",mirai research solutions specializes energy technologies fuel cell technology biodiesel plants research equipment fabrication
140,142,140,Vel Tech Technology Incubator,SMBSURE BUSINESS SOLUTIONS PVT LTD,Chennai,IoT,GoFloaters is the office for distributed and remote teams. Virtual Watercooler is a product innovation by GoFloaters that helps teams have virtual watercooler conversations.,gofloaters office distributed remote teams virtual watercooler product innovation gofloaters helps teams virtual watercooler conversations
141,143,141,"FIRST, IITK",Campus Haat Solutions Pvt Ltd,"Kanpur, Uttar Pradesh",Social Commerce,We Provide Hyperlocal Home-Made Food Delivery,provide hyperlocal home made food delivery
142,144,142,"TIIC, ABV-IIITM, Gwalior",IOT Based Smart Device to Implement Gesture Keyboard in the Light of COVID-19 Disease,Gwalior,IOT,https://www.iiitm.ac.in/index.php/en/research-eng/technology-innovation-and-incubation-center-tiic,technology innovation incubation center tiic abv iiitm gwalior established funded meity tide scheme acts pivotal interface industry academia mission foster promote sustain commercialization science technology tiic provides incubation support including modular space expert guidance help develop novel technology business ideas viable commercial products services center actively promotes entrepreneurship organizing significant events innovation entrepreneurship conference vichat haat business plan competition atal research incubation conclave aric alongside numerous workshops diverse areas like iot g communication enterprise healthcare systems digital financial inclusion ipr startups
143,145,143,"TIIC, ABV-IIITM, Gwalior",Virtual Lab on Data Structure and Algorithms,GWALIOR,AI,"Virtual Labs project is an initiative of Ministry of Education (MoE), Government of India under the aegis of National Mission on Education through Information and Communication Technology (NMEICT). This project is a consortium activity of twelve participating institutes and IIT Delhi is coordinating institute. It is a paradigm shift in ICT-based education. For the first time, such an initiative has been taken-up in remoteâexperimentation. Under Virtual Labs project, over 175 Virtual Labs consisting of approximately 1590+ web-enabled experiments were designed for remote-operation and viewing.",virtual labs project initiative ministry education moe government india aegis national mission education information communication technology nmeict project consortium activity twelve participating institutes iit delhi coordinating institute paradigm shift ict based education first time initiative taken remote experimentation virtual labs project virtual labs consisting approximately web enabled experiments designed remote operation viewing
144,146,144,"TIIC, ABV-IIITM, Gwalior",Development of IOT Based Smart isolation/ Quarantine Center to combat COVID-19,Gwalior,IOT,https://www.iiitm.ac.in/index.php/en/research-eng/technology-innovation-and-incubation-center-tiic,technology innovation incubation center tiic abv iiitm gwalior established funded ministry electronics information technology meity tide scheme functions institute industry academia interface core mission foster promote commercialize science technology tiic provides modular spaces technical laboratories expert guidance incubate novel technology business ideas aiming transform research viable commercial products services tiic actively promotes innovation entrepreneurship various events workshops notable activities include national conference innovation entrepreneurship vichat haat business plan competition atal research incubation conclave aric center conducts workshops diverse cutting edge topics enterprise healthcare systems g communication iot applications including security smart devices agriculture digital financial inclusion intelligent transportation systems challenges opportunities innovation ipr start ups within environment energy healthcare sectors
145,147,145,"TIIC, ABV-IIITM, Gwalior",SehatOne ÃÂ¯ÃÂ¿ÃÂ½ Comprehensive Medical Analysis for Organizations,Gwalior,Healthcare,https://iiitm.ac.in/index.php/en/426-technology-innovation-and-incubation-center-tiic,abv indian institute information technology management iiitm gwalior established ministry human resource development government india first iiit focused fostering management education accorded deemed university status institute operates acre campus gwalior providing high quality technical managerial education established research collaborations international universities industries boasting high quality research oriented students faculty institute iso certified ranked th among top professional institutes india outlook mdra technology innovation incubation center tiic abv iiitm gwalior established funded meity tide scheme serves institute industrial interface core mission commercialize institute intellectual property integrate industrial relevance r teaching activities tiic provides facilities guidance new entrepreneurs fostering growth novel technology business ideas viable products center actively organizes national conferences workshops topics innovation entrepreneurship enterprise healthcare systems g communication iot digital financial inclusion dynamical systems intelligent transportation ipr also listing various startups incubated tide schemes
146,148,146,Grameena Incubation Center,Transity,Chennai,Agri-Supply Chain,"Transity offers a digital agri-supply chain platform, freshFLO, which can enable agri and food based organizations to manage their farm to fork operations in an efficient, reliable and convenient manner.",transity offers digital agri supply chain platform freshflo enable agri food based organizations manage farm fork operations efficient reliable convenient manner
147,149,147,Grameena Incubation Center,TraceX,Banglore,Block chain,"TraceX technologies offers digital agriculture platform called FOODSIGN which digitises the entire agri supply chain to enable transparency, trust and traceability leveraging blockchain technology.",tracex technologies offers digital agriculture platform called foodsign digitises entire agri supply chain enable transparency trust traceability leveraging blockchain technology
148,150,148,Grameena Incubation Center,"""Temperate Technologies""",Hyderabad,Cold Storage Solutions,"""Temperate Technologies is an early-stage start-up company that is developing solar-powered decentralized cold storage solutions. Lack of cold storage leads to an annual loss of more than INR 100,000 crore of fresh fruits and vegetables in our country. It also directly reduces farmer incomes. Temperate cold rooms are based on an innovative energy-efficient cooling technology called dew point cooling. The technology helps in lowering the number of solar panels required for powering the cooling system, which reduces the overall cost of the off-grid cold store. We have filed three patent applications on the technology. We are currently prototyping cold storage solutions in different form factors.
Temperate Technologies is led by a team of engineers from top schools including IIT Madras, IIT Kharagpur and Purdue University. The team has prior start-up experience, including in Silicon Valley-based companies.""",temperate technologies early stage start company developing solar powered decentralized cold storage solutions lack cold storage leads annual loss inr crore fresh fruits vegetables country also directly reduces farmer incomes temperate cold rooms based innovative energy efficient cooling technology called dew point cooling technology helps lowering number solar panels required powering cooling system reduces overall cost grid cold store filed three patent applications technology currently prototyping cold storage solutions different form factors temperate technologies led team engineers top schools including iit madras iit kharagpur purdue university team prior start experience including silicon valley based companies
149,151,149,Amity University Haryana,NanoMask (It is our first product. Actual startup name to be revealed soon after trademark registration),"Gurugram, Haryana",Face Mask,Our startup offers customers a multi-purpose face mask that can provide customers choice to use it as regular cloth face mask or nano-particle coated anti-microbial face mask or N95 grade face mask or aromatherapy mask. We also provide customers plant-base essential oils and herbal sanitizer. Our prototype development phase is completed and we are getting ready to launch our product.,startup offers customers multi purpose face mask provide customers choice use regular cloth face mask nano particle coated anti microbial face mask n grade face mask aromatherapy mask also provide customers plant base essential oils herbal sanitizer prototype development phase completed getting ready launch product
150,152,150,CIIE Initiatives,Aiborne Tech,Delhi,Skilling & Edtech,"Aiborne Tech is providing advanced Industrial Lab Training through AI-based Mixed Reality Modules.
",aiborne tech providing advanced industrial lab training ai based mixed reality modules
151,153,151,CIIE Initiatives,Pacify Medical,Mumbai,Healthcare,"Pacify Medical is a medical technology company with the aim to bring advanced wound healing technologies to patients, currently developing Skin Spray Gun, A gun which heals patients 25% faster.",pacify medical medical technology company aim bring advanced wound healing technologies patients currently developing skin spray gun gun heals patients faster
152,154,152,CIIE Initiatives,Evoluto,Bangalore,Healthcare,"Dr Sabharanjak is a scientist and founder of Evoluto (startup). She has developed an inhalable spray that can reduce infections with SARS-CoV-2 virus. As per her, the spray can be used via an oral pump (like we use personal inhalers and asthalin puffs) or using a nebulizer in hospitals and homes.",dr sabharanjak scientist founder evoluto startup developed inhalable spray reduce infections sars cov virus per spray used via oral pump like use personal inhalers asthalin puffs using nebulizer hospitals homes
153,155,153,CIIE Initiatives,Redicine Medsol,"Ahmedabad, Gujarat",Healthcare,"Redicine Medsol is developing a smart Pill storage and reminding device to mitigate WHO's 3rd Global Patients Safety challenge: Medication adherence, which is costing almost 42 billion USD in the USA alone, by improving patient's medication adherence up to 90% which is just around 40-50% only. Their solution gives real-time accurate medication adherence reports and compared to conventional methods, they are very much ahead in terms of technology, size, efficiency, no drug-to-drug interaction & affordability.",redicine medsol developing smart pill storage reminding device mitigate rd global patients safety challenge medication adherence costing almost billion usd usa alone improving patient medication adherence around solution gives real time accurate medication adherence reports compared conventional methods much ahead terms technology size efficiency drug drug interaction affordability
154,156,154,CIIE Initiatives,Minocular,Raipur,Smart infrastructure / Mining,"Minoular offers complete enterprise drone solutions on a comprehensive platform , it provide end-to-end solutions that turnaerial data into actionable business intelligence for mining, aggregates & construction industry. Minocular's 3D visual intelligence platform use IOT to collect real time data and AI to reduce cost and improve efficiency in mining operation.",minoular offers complete enterprise drone solutions comprehensive platform provide end end solutions turnaerial data actionable business intelligence mining aggregates construction industry minocular visual intelligence platform use iot collect real time data ai reduce cost improve efficiency mining operation
155,157,155,CIIE Initiatives,Godaam Innovations Pvt. Ltd.,Nashik,Agritech,Godaam is an early stage initiative trying to convert traditional onion warehouses into smart warehouses to reduce crop wastage. It implements IoT based monitoring solution that analyzes and communicates the health status of onion stock in real time. We are here to extend care and support to our agricultural heroes by providing them important information about their onion stocks which enables them to take informed decision.,godaam early stage initiative trying convert traditional onion warehouses smart warehouses reduce crop wastage implements iot based monitoring solution analyzes communicates health status onion stock real time extend care support agricultural heroes providing important information onion stocks enables take informed decision
156,158,156,CIIE Initiatives,Articulus Surgical,Bangalore,Healthcare,The startup is developing a portable and affordable robotic surgical systems. It will enable access to minimally invasive surgeries with the same precision as the gold standard product with nearly 25% of the cost and 20% of the size.,startup developing portable affordable robotic surgical systems enable access minimally invasive surgeries precision gold standard product nearly cost size
157,159,157,"FITT, IIT Delhi",Dweepi Innovations Pvt Ltd,Visakhapatnam,"Railways, transportation","""Dweepi innovations Pvt Ltd developing cost effective product and precision products for railways. We are developing track measurement system for regular inspection of railway tracks.
? Portable Track Geometry Measurement System measures track parameters under track floating conditions and also records visual inspections.
? Trolley does not have dependencies on other machines or track schedules that makes it to use any time for track profiling.
? Less weight that can carry by single person
? It is as easy as a basic skilled person can operate""",dweepi innovations pvt ltd developing cost effective product precision products railways developing track measurement system regular inspection railway tracks portable track geometry measurement system measures track parameters track floating conditions also records visual inspections trolley dependencies machines track schedules makes use time track profiling less weight carry single person easy basic skilled person operate
158,160,158,"FITT, IIT Delhi",Trydan Motors Private Limited,New Delhi,E-mobility,"""Trydan Motors (P) Ltd. is a startup engaged in manufacturing of Electric Vehicles (EV) in India. We are prominent manufacturer of e bikes with a vision of participating in the evolution of electric vehicles era in the world.We are focused on creating an environment of EV in India and promoting them. Our continuous efforts are to reduce the unnecessary use of petrol bikes and scooters and promote cycling in India.
Provide Green alternative to existing modes of transportation""",trydan motors p ltd startup engaged manufacturing electric vehicles ev india prominent manufacturer e bikes vision participating evolution electric vehicles era world focused creating environment ev india promoting continuous efforts reduce unnecessary use petrol bikes scooters promote cycling india provide green alternative existing modes transportation
159,161,159,"FITT, IIT Delhi",Let's Farm (Shvaas Sustainable Solutions Private Limited),"Jaipur, Rajasthan",Agri-Tech,"""LetÃÂ¯ÃÂ¿ÃÂ½s Farm is a brand under agri-tech & clean-tech start up Shvaas Sustainable Solutions Private Limited. SSS Private Limited was founded in 2020 by IIT & JU alumni. Company is trying to create a sustainable ecosystem for Indian organic farmers.
The company is trying to solve several pain points which is being faced by the Indian organic farmer. With the branding of LetÃÂ¯ÃÂ¿ÃÂ½s Farm, company is working to build an e-marketplace for organic farmers & working to solve some other minor issues.
Shvaas Sustainable Solution is a recognized startup by government of India as well as government of Rajasthan. The startup is supported by Ministry of Electronics and Information Technology, Government of India, BIRAC, FITT, IIT Delhi & JU. The startup have achieved some government awards like Tide.
The company is based on Jaipur & looking future in PAN India with 3 years.""",let farm brand agri tech clean tech start shvaas sustainable solutions private limited sss private limited founded iit ju alumni company trying create sustainable ecosystem indian organic farmers company trying solve several pain points faced indian organic farmer branding let farm company working build e marketplace organic farmers working solve minor issues shvaas sustainable solution recognized startup government india well government rajasthan startup supported ministry electronics information technology government india birac fitt iit delhi ju startup achieved government awards like tide company based jaipur looking future pan india years
160,162,160,"FITT, IIT Delhi",Ambrosius Tech Pvt. Ltd.,"Satara, Maharashtra (Presently operating from Delhi)",EdTech,"Ambrosius Tech Pvt. Ltd., a start-up founded by the students & alumni of IIT Delhi and IIT Roorkee, to develop an online platform for the education institutes, Building technological solutions for addressing the needs of administration & teacher at educational institutions which can make their working easier in any mode. We are developing the platform which will be helpful for smooth running of the educational institutes on online, offline as well as hybrid mode. The start-up vision is to make the teaching and managing experience realistic, interactive, informative, and user-friendly. The platform will be a bridge the gap among the administration-students-teachers-parents.",ambrosius tech pvt ltd start founded students alumni iit delhi iit roorkee develop online platform education institutes building technological solutions addressing needs administration teacher educational institutions make working easier mode developing platform helpful smooth running educational institutes online offline well hybrid mode start vision make teaching managing experience realistic interactive informative user friendly platform bridge gap among administration students teachers parents
161,163,161,FITT IIT Delhi,Materate Education Pvt Ltd,New Delhi,Education,MateRate is an AI-powered adaptive learning solution that simplifies Maths for school students by identifying and resolving the root cause of their conceptual gaps. It focuses on resolving gaps in a targeted manner to help students realize a substantial improvement in their learning outcomes within a short span of time.,materate ai powered adaptive learning solution simplifies maths school students identifying resolving root cause conceptual gaps focuses resolving gaps targeted manner help students realize substantial improvement learning outcomes within short span time
162,164,162,"FITT, IIT Delhi",Neem Tree Agro Solutions Private Limited,"Delhi, Delhi",AgriTech,"We are a SaaS based AgTech company focused on delivering economical, efficient and adaptable cutting edge solutions for every farmer in the nation. The services harness the power of data and Artificial Intelligence based decision support system for enhanced quality and quantity of produce.",saas based agtech company focused delivering economical efficient adaptable cutting edge solutions every farmer nation services harness power data artificial intelligence based decision support system enhanced quality quantity produce
163,165,163,"FITT, IIT Delhi",MeuKron Technologies,"Belagavi, Karnataka",Healthcare,MeuKron Technologies is a start-up that helps companies and institutes to save time and cost on the R&D and prototyping of Microfluidic based Healthcare devices with an integrated rapid prototyping solution.,meukron technologies start helps companies institutes save time cost r prototyping microfluidic based healthcare devices integrated rapid prototyping solution
164,166,164,FITT (IIT Delhi),NextLeap Aeronautics Pvt Ltd,"Bangalore, Karnataka","Aerospace, UAV, Drones, Defence","""NextLeap Aeronautics is an advanced civil aviation & defence technology startup and currently developing the next generation of autonomous UAVs/drones and electric vertical take-off & landing aircrafts. NextLeap has been chosen as the technology partner by a Private Aerospace & Defence company to develop the drones for their defence product portfolio. Developed the first prototype and delivered in Sep 2021.

""",nextleap aeronautics advanced civil aviation defence technology startup currently developing next generation autonomous uavs drones electric vertical take landing aircrafts nextleap chosen technology partner private aerospace defence company develop drones defence product portfolio developed first prototype delivered sep
